FECHA,PRECIP,EVAP,TMAX,TMIN,HUMEDAD_RELATIVA
12/02/1925,  0,  Nulo  ,  5.5, 0.4 ,
13/02/1925,  0,  Nulo  ,  5  , 1.2 ,
14/02/1925,  0,  Nulo  ,  16 , 6.5 ,
15/02/1925,  0,  Nulo, 19  ,5 ,
16/02/1925,  27.5,  Nulo, 20  ,6 ,
17/02/1925,  0,  Nulo  ,  20.5  , 5.8 ,
18/02/1925,  0,  Nulo  ,  17 , 5.5 ,
19/02/1925,  0,  Nulo  ,  18 , 7.5 ,
20/02/1925,  0,  Nulo  ,  20 , 5.5 ,
21/02/1925,  0,  Nulo  ,  19 , 8.5 ,
22/02/1925,  1.8 ,  Nulo, 22.5,6 ,
23/02/1925,  0,  Nulo, 23  ,6 ,
24/02/1925,  0,  Nulo, 22  ,6 ,
25/02/1925,  0,  Nulo ,19.5 ,  11 ,
26/02/1925,  0,  Nulo, 22  ,9 ,
27/02/1925,  0,  Nulo ,23,  10 ,
28/02/1925,  0,  Nulo, 21.5,9 ,
01/03/1925,  15.2,  Nulo  ,  22 , 8.5 ,
02/03/1925,  0,  Nulo, 21  ,8 ,
03/03/1925,  0,  Nulo, 13  ,9 ,
04/03/1925,  0,  Nulo ,15,  10 ,
05/03/1925,  0,  Nulo  ,  13 , 6.2 ,
06/03/1925,  0,  Nulo, 17.2,7 ,
07/03/1925,  0,  Nulo  ,  16.5  , 6.5 ,
08/03/1925,  0,  Nulo, 18  ,3 ,
09/03/1925,  0,  Nulo, 18  ,4 ,
10/03/1925,  0,  Nulo, 19  ,3 ,
11/03/1925,  0,  Nulo  ,  19 , 3.5 ,
12/03/1925,  0,  Nulo  ,  18.5  , 2.5 ,
13/03/1925,  59.3,  Nulo  ,  19.5  , 2.5 ,
14/03/1925,  1,  Nulo  ,  21.2  , 8.6 ,
15/03/1925,  0,  Nulo  ,  20 , 7.3 ,
16/03/1925,  0,  Nulo, 16.5,4 ,
17/03/1925,  22.7,  Nulo, 19  ,6 ,
18/03/1925,  5,  Nulo  ,  19.5  , 6.2 ,
19/03/1925,  3.7 ,  Nulo ,20.3 ,  11 ,
20/03/1925,  5.5 ,  Nulo  ,  18 , 9.5 ,
21/03/1925,  8,  Nulo  ,  18 , 7.5 ,
22/03/1925,  3.7 ,  Nulo  ,  14.5  , 7.5 ,
23/03/1925,  0,  Nulo  ,  14 , 7.3 ,
24/03/1925,  0,  Nulo ,18.6 ,  10 ,
25/03/1925,  0,  Nulo  ,  17 , 8.5 ,
